Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.1609604,17.962264150943398,1.2478335,-3.9200742840766907,-3.9200742840766907,1.0
2000,2.1615183,19.14,1.182993,-3.9029734754562377,-3.9029734754562377,1.0
3000,2.1620572,20.869565217391305,1.1886197,-3.9615492794824685,-3.9615492794824685,1.0
4000,2.1648524,19.79591836734694,1.382407,-4.244140586954482,-4.244140586954482,1.0
5000,2.163857,19.568181818181817,1.3977591,-4.134638722824014,-4.134638722824014,1.0
6000,2.1633058,21.583333333333332,1.3159003,-3.3717430195909865,-3.3717430195909865,1.0
7000,2.1618042,19.53061224489796,1.3389053,-4.1120330914855,-4.1120330914855,1.0
8000,2.1609483,20.261904761904763,1.3163134,-3.6810114151094018,-3.6810114151094018,1.0
9000,2.1600192,23.67391304347826,1.4354439,-3.541389059513173,-3.541389059513173,1.0
10000,2.1629863,21.454545454545453,1.3378686,-3.6872183030301873,-3.6872183030301873,1.0
11000,2.1621532,20.6046511627907,1.0685831,-3.7071154713630676,-3.7071154713630676,1.0
12000,2.1622074,20.565217391304348,0.8658804,-3.9349209147950877,-3.9349209147950877,1.0
13000,2.1620364,23.904761904761905,0.80966705,-4.328699398040771,-4.328699398040771,1.0
14000,2.1613953,21.19047619047619,0.8706499,-4.268433825536207,-4.268433825536207,1.0
15000,2.1612957,24.05128205128205,0.9341923,-4.15984011002076,-4.15984011002076,1.0
16000,2.1606119,20.128205128205128,0.9503385,-3.82303786277771,-3.82303786277771,1.0
17000,2.1589406,18.941176470588236,0.85649824,-3.939497508108616,-3.939497508108616,1.0
18000,2.1574938,20.8,0.7885637,-3.722868982781755,-3.722868982781755,1.0
19000,2.160459,20.3265306122449,0.9815479,-3.772583286812965,-3.772583286812965,1.0
20000,2.1597269,21.026315789473685,0.86542785,-4.009185883402824,-4.009185883402824,1.0
21000,2.1551242,21.205128205128204,0.5779176,-4.022887776792049,-4.022887776792049,1.0
22000,2.1474063,22.761904761904763,0.4845045,-3.8401656092667,-3.8401656092667,1.0
23000,2.147512,19.877551020408163,0.42008445,-4.039114483024763,-4.039114483024763,1.0
24000,2.1438658,20.0,0.3674405,-4.0235665819861675,-4.0235665819861675,1.0
25000,2.1430159,18.058823529411764,0.5100807,-3.973757493495941,-3.973757493495941,1.0
26000,2.1414874,23.871794871794872,0.47327265,-4.025777914585212,-4.025777914585212,1.0
27000,2.145621,21.5,0.44261074,-4.400734189229134,-4.400734189229134,1.0
28000,2.1472385,19.931818181818183,0.46241257,-4.120095927606929,-4.120095927606929,1.0
29000,2.1473935,19.847826086956523,0.44256824,-4.039719967738442,-4.039719967738442,1.0
30000,2.1496062,43.11363636363637,0.48368868,-4.335334742611105,-4.335334742611105,1.0
31000,2.1457913,25.314285714285713,0.30366033,-3.779530896080865,-3.779530896080865,1.0
32000,2.1488445,20.94,0.08879354,-3.9119761337836585,-3.9119761337836585,1.0
33000,2.1485453,20.511111111111113,0.072327815,-4.107383460440534,-4.107383460440534,1.0
34000,2.1434116,21.477272727272727,0.059467383,-4.435028296709061,-4.435028296709061,1.0
35000,2.1467218,18.634146341463413,0.08630035,-3.6111034154891968,-3.6111034154891968,1.0
36000,2.1449473,21.7027027027027,0.11507891,-4.099782419204712,-4.099782419204712,1.0
37000,2.142422,17.0,0.09090355,-3.81465755952032,-3.81465755952032,1.0
38000,2.1439705,19.106382978723403,0.045797173,-3.9691051918527354,-3.9691051918527354,1.0
39000,2.1428964,26.487179487179485,0.068484746,-3.1044762226251454,-3.1044762226251454,1.0
40000,2.1467476,20.162790697674417,0.06331639,-3.8842215055511113,-3.8842215055511113,1.0
41000,2.1437864,19.9,0.14279379,-3.9340338356354656,-3.9340338356354656,1.0
42000,2.1321008,21.86842105263158,-0.095979735,-3.9095290303230286,-3.9095290303230286,1.0
43000,2.1245823,21.26829268292683,-0.22150722,-3.731526474157969,-3.731526474157969,1.0
44000,2.1207678,18.38888888888889,-0.22821687,-3.817208382487297,-3.817208382487297,1.0
45000,2.126887,18.333333333333332,-0.32228613,-3.8320917501006018,-3.8320917501006018,1.0
46000,2.1208768,15.953488372093023,-0.22311354,-3.862635211511092,-3.862635211511092,1.0
47000,2.1240003,27.5,-0.33208925,-3.3166447281837463,-3.3166447281837463,1.0
48000,2.1322546,25.166666666666668,-0.25287738,-2.9732007290187634,-2.9732007290187634,1.0
49000,2.1328645,48.58974358974359,-0.15019475,-3.4626944629769576,-3.4626944629769576,1.0
50000,2.1290553,35.388888888888886,-0.24659814,-3.254933089580176,-3.254933089580176,1.0
51000,2.1317437,21.790697674418606,-0.34021503,-3.9448244382034647,-3.9448244382034647,1.0
52000,2.132031,20.862745098039216,-0.57297343,-3.6709012736876807,-3.6709012736876807,1.0
53000,2.1278238,18.40909090909091,-0.7415871,-3.8976539347482766,-3.8976539347482766,1.0
54000,2.1241682,20.829787234042552,-0.70391,-3.817839100956917,-3.817839100956917,1.0
55000,2.1284244,21.340425531914892,-0.6997833,-3.769637009371882,-3.769637009371882,1.0
56000,2.122471,20.84090909090909,-0.7024304,-4.01369780699412,-4.01369780699412,1.0
57000,2.1248047,17.093023255813954,-0.6391981,-4.050360438498584,-4.050360438498584,1.0
58000,2.1299076,24.479166666666668,-0.63146025,-4.060960509041522,-4.060960509041522,1.0
59000,2.1219144,23.047619047619047,-0.56663,-4.032651283020197,-4.032651283020197,1.0
60000,2.1262596,21.104166666666668,-0.5586596,-4.064113171895345,-4.064113171895345,1.0
61000,2.1270645,22.142857142857142,-0.75076455,-4.253486633300781,-4.253486633300781,1.0
62000,2.1143093,28.416666666666668,-0.60779494,-4.178139415654269,-4.178139415654269,1.0
